context,answer,question
"Die Broncos besiegten die Pittsburgh Steelers in der Divisional Round, 23-16, indem sie in den letzten drei Minuten des Spiels 11 Punkte erzielten. Sie schlugen daraufhin im AFC-Championship-Spiel den verteidigenden Super Bowl XLIX-Champion, die New England Patriots, 20-18, indem sie bei nur 17 Sekunden verbleibender Spielzeit New Englands Versuch, eine 2-Point Conversion zu erzielen, abfingen. Trotz Mannings Problemen mit Interceptions während der Saison verfehlte er in den beiden Playoff-Spielen keine einzige.",17,"Wie viele Sekunden verblieben im Spiel, als die 2-Point Conversion der Patriots fehlschlug?"
"Peyton Manning wurde zum ersten Quarterback, der zwei verschiedene Teams zu mehreren Super Bowls führte. Mit 39 Jahren ist er zudem auch der älteste Quarterback, der je in einem Super Bowl spielte. Vor Manning wurde der Rekord von John Elway gehalten, der im Alter von 38 Jahren die Broncos zum Sieg beim Super Bowl XXXIII führte und derzeit Denvers Executive Vice President of Football Operations und General Manager ist.",39,"Wie alt war Peyton Manning, als er im Super Bowl 50 spielte?"
"Peyton Manning wurde zum ersten Quarterback, der zwei verschiedene Teams zu mehreren Super Bowls führte. Mit 39 Jahren ist er zudem auch der älteste Quarterback, der je in einem Super Bowl spielte. Vor Manning wurde der Rekord von John Elway gehalten, der im Alter von 38 Jahren die Broncos zum Sieg beim Super Bowl XXXIII führte und derzeit Denvers Executive Vice President of Football Operations und General Manager ist.",John Elway,"Wer hielt zuvor den Rekord als ältester Quarterback, der in einem Super Bowl mitspielte?"
"Peyton Manning wurde zum ersten Quarterback, der zwei verschiedene Teams zu mehreren Super Bowls führte. Mit 39 Jahren ist er zudem auch der älteste Quarterback, der je in einem Super Bowl spielte. Vor Manning wurde der Rekord von John Elway gehalten, der im Alter von 38 Jahren die Broncos zum Sieg beim Super Bowl XXXIII führte und derzeit Denvers Executive Vice President of Football Operations und General Manager ist.",38,"Wie alt war John Elway, als er im Super Bowl XXXIII spielte?"
"Peyton Manning wurde zum ersten Quarterback, der zwei verschiedene Teams zu mehreren Super Bowls führte. Mit 39 Jahren ist er zudem auch der älteste Quarterback, der je in einem Super Bowl spielte. Vor Manning wurde der Rekord von John Elway gehalten, der im Alter von 38 Jahren die Broncos zum Sieg beim Super Bowl XXXIII führte und derzeit Denvers Executive Vice President of Football Operations und General Manager ist.",Broncos,Für wen spielte John Elway im Super Bowl XXXIII?
"Peyton Manning wurde zum ersten Quarterback, der zwei verschiedene Teams zu mehreren Super Bowls führte. Mit 39 Jahren ist er zudem auch der älteste Quarterback, der je in einem Super Bowl spielte. Vor Manning wurde der Rekord von John Elway gehalten, der im Alter von 38 Jahren die Broncos zum Sieg beim Super Bowl XXXIII führte und derzeit Denvers Executive Vice President of Football Operations und General Manager ist.",Broncos,Welches Team gewann den Super Bowl XXXIII?
"Peyton Manning wurde zum ersten Quarterback, der zwei verschiedene Teams zu mehreren Super Bowls führte. Mit 39 Jahren ist er zudem auch der älteste Quarterback, der je in einem Super Bowl spielte. Vor Manning wurde der Rekord von John Elway gehalten, der im Alter von 38 Jahren die Broncos zum Sieg beim Super Bowl XXXIII führte und derzeit Denvers Executive Vice President of Football Operations und General Manager ist.",John Elway,Wer ist der General Manager der Broncos?
"Peyton Manning wurde zum ersten Quarterback, der zwei verschiedene Teams zu mehreren Super Bowls führte. Mit 39 Jahren ist er zudem auch der älteste Quarterback, der je in einem Super Bowl spielte. Vor Manning wurde der Rekord von John Elway gehalten, der im Alter von 38 Jahren die Broncos zum Sieg beim Super Bowl XXXIII führte und derzeit Denvers Executive Vice President of Football Operations und General Manager ist.",38,Wie alt war Elway während seines Sieges im Super Bowl XXXIII?
"Peyton Manning wurde zum ersten Quarterback, der zwei verschiedene Teams zu mehreren Super Bowls führte. Mit 39 Jahren ist er zudem auch der älteste Quarterback, der je in einem Super Bowl spielte. Vor Manning wurde der Rekord von John Elway gehalten, der im Alter von 38 Jahren die Broncos zum Sieg beim Super Bowl XXXIII führte und derzeit Denvers Executive Vice President of Football Operations und General Manager ist.",Peyton Manning,Wer hält den Rekord für den ältesten Quarterback in einem Super Bowl-Spiel?
"Peyton Manning wurde zum ersten Quarterback, der zwei verschiedene Teams zu mehreren Super Bowls führte. Mit 39 Jahren ist er zudem auch der älteste Quarterback, der je in einem Super Bowl spielte. Vor Manning wurde der Rekord von John Elway gehalten, der im Alter von 38 Jahren die Broncos zum Sieg beim Super Bowl XXXIII führte und derzeit Denvers Executive Vice President of Football Operations und General Manager ist.",zwei,"Für wie viele Teams, die den Super Bowl erreichten, spielte Manning?"
"Peyton Manning wurde zum ersten Quarterback, der zwei verschiedene Teams zu mehreren Super Bowls führte. Mit 39 Jahren ist er zudem auch der älteste Quarterback, der je in einem Super Bowl spielte. Vor Manning wurde der Rekord von John Elway gehalten, der im Alter von 38 Jahren die Broncos zum Sieg beim Super Bowl XXXIII führte und derzeit Denvers Executive Vice President of Football Operations und General Manager ist.",zwei,Wie viele verschiedene Teams führte Peyton Manning zum Super Bowl?
"Peyton Manning wurde zum ersten Quarterback, der zwei verschiedene Teams zu mehreren Super Bowls führte. Mit 39 Jahren ist er zudem auch der älteste Quarterback, der je in einem Super Bowl spielte. Vor Manning wurde der Rekord von John Elway gehalten, der im Alter von 38 Jahren die Broncos zum Sieg beim Super Bowl XXXIII führte und derzeit Denvers Executive Vice President of Football Operations und General Manager ist.",Peyton Manning,"Wer ist der älteste Quarterback, der je in einem Super Bowl gespielt hat?"
"Peyton Manning wurde zum ersten Quarterback, der zwei verschiedene Teams zu mehreren Super Bowls führte. Mit 39 Jahren ist er zudem auch der älteste Quarterback, der je in einem Super Bowl spielte. Vor Manning wurde der Rekord von John Elway gehalten, der im Alter von 38 Jahren die Broncos zum Sieg beim Super Bowl XXXIII führte und derzeit Denvers Executive Vice President of Football Operations und General Manager ist.",John Elway,"Wer war vor Manning der älteste Quarterback, der je in einem Super Bowl gespielt hat?"
"Peyton Manning wurde zum ersten Quarterback, der zwei verschiedene Teams zu mehreren Super Bowls führte. Mit 39 Jahren ist er zudem auch der älteste Quarterback, der je in einem Super Bowl spielte. Vor Manning wurde der Rekord von John Elway gehalten, der im Alter von 38 Jahren die Broncos zum Sieg beim Super Bowl XXXIII führte und derzeit Denvers Executive Vice President of Football Operations und General Manager ist.",Super Bowl XXXIII,Welchen Super Bowl gewann Elway im Alter von 38 Jahren?
"Peyton Manning wurde zum ersten Quarterback, der zwei verschiedene Teams zu mehreren Super Bowls führte. Mit 39 Jahren ist er zudem auch der älteste Quarterback, der je in einem Super Bowl spielte. Vor Manning wurde der Rekord von John Elway gehalten, der im Alter von 38 Jahren die Broncos zum Sieg beim Super Bowl XXXIII führte und derzeit Denvers Executive Vice President of Football Operations und General Manager ist.",Peyton Manning,"Wer war der erste Quarterback, der zwei Teams zu mehr als einem Super Bowl führte?"
"Peyton Manning wurde zum ersten Quarterback, der zwei verschiedene Teams zu mehreren Super Bowls führte. Mit 39 Jahren ist er zudem auch der älteste Quarterback, der je in einem Super Bowl spielte. Vor Manning wurde der Rekord von John Elway gehalten, der im Alter von 38 Jahren die Broncos zum Sieg beim Super Bowl XXXIII führte und derzeit Denvers Executive Vice President of Football Operations und General Manager ist.",39,"Wie alt war Manning, als er im Super Bowl 50 mitspielte?"
"Peyton Manning wurde zum ersten Quarterback, der zwei verschiedene Teams zu mehreren Super Bowls führte. Mit 39 Jahren ist er zudem auch der älteste Quarterback, der je in einem Super Bowl spielte. Vor Manning wurde der Rekord von John Elway gehalten, der im Alter von 38 Jahren die Broncos zum Sieg beim Super Bowl XXXIII führte und derzeit Denvers Executive Vice President of Football Operations und General Manager ist.",John Elway,"Wie heißt der Quarterback, der während des Super Bowl XXXIII 38 Jahre alt war?"
"Die sechs-malige Grammy-Gewinnerin und Oscar-Nominierte Lady Gaga führte die Nationalhymne auf, während die Oscar-Gewinnerin Marlee Matlin in die Amerikanische Gebärdensprache (ASL) übersetzte.",sechs,Wie viele Grammys gewann Lady Gaga?
"Die sechs-malige Grammy-Gewinnerin und Oscar-Nominierte Lady Gaga führte die Nationalhymne auf, während die Oscar-Gewinnerin Marlee Matlin in die Amerikanische Gebärdensprache (ASL) übersetzte.",die Nationalhymne,Was hat Lady Gaga gesungen?
"Die sechs-malige Grammy-Gewinnerin und Oscar-Nominierte Lady Gaga führte die Nationalhymne auf, während die Oscar-Gewinnerin Marlee Matlin in die Amerikanische Gebärdensprache (ASL) übersetzte.",Oscar,Welche Auszeichnung erhielt Marlee Matlin?
"Die sechs-malige Grammy-Gewinnerin und Oscar-Nominierte Lady Gaga führte die Nationalhymne auf, während die Oscar-Gewinnerin Marlee Matlin in die Amerikanische Gebärdensprache (ASL) übersetzte.",die Nationalhymne,Was übersetzte Marlee Matlin?
"Die sechs-malige Grammy-Gewinnerin und Oscar-Nominierte Lady Gaga führte die Nationalhymne auf, während die Oscar-Gewinnerin Marlee Matlin in die Amerikanische Gebärdensprache (ASL) übersetzte.",in die Amerikanische Gebärdensprache,In welche Sprache übersetzte Marlee Matlin die Nationalhymne?
"Die sechs-malige Grammy-Gewinnerin und Oscar-Nominierte Lady Gaga führte die Nationalhymne auf, während die Oscar-Gewinnerin Marlee Matlin in die Amerikanische Gebärdensprache (ASL) übersetzte.",Lady Gaga,Wer sang die Nationalhymne?
"Die sechs-malige Grammy-Gewinnerin und Oscar-Nominierte Lady Gaga führte die Nationalhymne auf, während die Oscar-Gewinnerin Marlee Matlin in die Amerikanische Gebärdensprache (ASL) übersetzte.",Marlee Matlin,Welche Schauspielerin übersetzte beim Spiel in die Amerikanische Gebärdensprache?
"Die sechs-malige Grammy-Gewinnerin und Oscar-Nominierte Lady Gaga führte die Nationalhymne auf, während die Oscar-Gewinnerin Marlee Matlin in die Amerikanische Gebärdensprache (ASL) übersetzte.",Lady Gaga,Wer sang die Nationalhymne beim Super Bowl 50?
"Die sechs-malige Grammy-Gewinnerin und Oscar-Nominierte Lady Gaga führte die Nationalhymne auf, während die Oscar-Gewinnerin Marlee Matlin in die Amerikanische Gebärdensprache (ASL) übersetzte.",Marlee Matlin,Welcher Schauspieler übersetzte beim Super Bowl 50 die Nationalhymne in die Gebärdensprache?
"Die sechs-malige Grammy-Gewinnerin und Oscar-Nominierte Lady Gaga führte die Nationalhymne auf, während die Oscar-Gewinnerin Marlee Matlin in die Amerikanische Gebärdensprache (ASL) übersetzte.",Lady Gaga,Wer sang die Nationalhymne beim Super Bowl 50?
"Die sechs-malige Grammy-Gewinnerin und Oscar-Nominierte Lady Gaga führte die Nationalhymne auf, während die Oscar-Gewinnerin Marlee Matlin in die Amerikanische Gebärdensprache (ASL) übersetzte.",sechs,Wie viele Grammy Awards hat Lady Gaga laut Text gewonnen?
"Die sechs-malige Grammy-Gewinnerin und Oscar-Nominierte Lady Gaga führte die Nationalhymne auf, während die Oscar-Gewinnerin Marlee Matlin in die Amerikanische Gebärdensprache (ASL) übersetzte.",Marlee Matlin,Wer übersetzte die Nationalhymne beim Super Bowl 50 in die Gebärdensprache?
"Mit 4:51 verbleibenden Minuten in der regulären Spielzeit brachte Carolina den Ball auf die eigene 24-Yard Line und bekam die Chance, einen spielentscheidenden Drive zu erzielen. Bald darauf standen sie einem 3rd-and-9 gegenüber. Beim nächsten Spielzug nahm Miller Newton den Ball ab und nach mehreren Dives flog der Ball eine weite Strecke nach hinten und wurde von Ward erobert, der ihn fünf Yard auf die 4-Yard Line der Panthers zurückbrachte. Obwohl mehrere Spieler in den Pile sprangen, um zu versuchen, den Ball zurückzugewinnen, tat Newton dies nicht. Sein Mangel an Aggression brachte ihm später heftige Kritik ein. In der Zwischenzeit wurde Denvers Offensive für drei Spielzüge aus der Endzone herausgehalten, aber eine Holding-Strafe für Cornerback Josh Norman gab den Broncos ein neues Set Downs. Dann punktete Anderson bei einem 2-Yard-Touchdown-Run und Manning vollendete einen Pass zu Bennie Fowler für eine 2-Point Conversion. Denver erhielt eine 24-10 Führung mit 3:08 verbleibenden Minuten, was das Spiel im Wesentlichen entschied. Carolina hatte noch zwei weitere Drives, konnte aber keine zwei First Downs erzielen.",24,Auf welcher Yard Line begann Carolina mit 4:51 verbleibenden Minuten im Spiel?
"Mit 4:51 verbleibenden Minuten in der regulären Spielzeit brachte Carolina den Ball auf die eigene 24-Yard Line und bekam die Chance, einen spielentscheidenden Drive zu erzielen. Bald darauf standen sie einem 3rd-and-9 gegenüber. Beim nächsten Spielzug nahm Miller Newton den Ball ab und nach mehreren Dives flog der Ball eine weite Strecke nach hinten und wurde von Ward erobert, der ihn fünf Yard auf die 4-Yard Line der Panthers zurückbrachte. Obwohl mehrere Spieler in den Pile sprangen, um zu versuchen, den Ball zurückzugewinnen, tat Newton dies nicht. Sein Mangel an Aggression brachte ihm später heftige Kritik ein. In der Zwischenzeit wurde Denvers Offensive für drei Spielzüge aus der Endzone herausgehalten, aber eine Holding-Strafe für Cornerback Josh Norman gab den Broncos ein neues Set Downs. Dann punktete Anderson bei einem 2-Yard-Touchdown-Run und Manning vollendete einen Pass zu Bennie Fowler für eine 2-Point Conversion. Denver erhielt eine 24-10 Führung mit 3:08 verbleibenden Minuten, was das Spiel im Wesentlichen entschied. Carolina hatte noch zwei weitere Drives, konnte aber keine zwei First Downs erzielen.",Newton,Wer erzielte einen Fumble beim 3rd-and-9?
"Mit 4:51 verbleibenden Minuten in der regulären Spielzeit brachte Carolina den Ball auf die eigene 24-Yard Line und bekam die Chance, einen spielentscheidenden Drive zu erzielen. Bald darauf standen sie einem 3rd-and-9 gegenüber. Beim nächsten Spielzug nahm Miller Newton den Ball ab und nach mehreren Dives flog der Ball eine weite Strecke nach hinten und wurde von Ward erobert, der ihn fünf Yard auf die 4-Yard Line der Panthers zurückbrachte. Obwohl mehrere Spieler in den Pile sprangen, um zu versuchen, den Ball zurückzugewinnen, tat Newton dies nicht. Sein Mangel an Aggression brachte ihm später heftige Kritik ein. In der Zwischenzeit wurde Denvers Offensive für drei Spielzüge aus der Endzone herausgehalten, aber eine Holding-Strafe für Cornerback Josh Norman gab den Broncos ein neues Set Downs. Dann punktete Anderson bei einem 2-Yard-Touchdown-Run und Manning vollendete einen Pass zu Bennie Fowler für eine 2-Point Conversion. Denver erhielt eine 24-10 Führung mit 3:08 verbleibenden Minuten, was das Spiel im Wesentlichen entschied. Carolina hatte noch zwei weitere Drives, konnte aber keine zwei First Downs erzielen.",Josh Norman,"Welcher Panther-Verteidiger wurde abgestraft, weil er den Ball beim Third Down festhielt?"
"Mit 4:51 verbleibenden Minuten in der regulären Spielzeit brachte Carolina den Ball auf die eigene 24-Yard Line und bekam die Chance, einen spielentscheidenden Drive zu erzielen. Bald darauf standen sie einem 3rd-and-9 gegenüber. Beim nächsten Spielzug nahm Miller Newton den Ball ab und nach mehreren Dives flog der Ball eine weite Strecke nach hinten und wurde von Ward erobert, der ihn fünf Yard auf die 4-Yard Line der Panthers zurückbrachte. Obwohl mehrere Spieler in den Pile sprangen, um zu versuchen, den Ball zurückzugewinnen, tat Newton dies nicht. Sein Mangel an Aggression brachte ihm später heftige Kritik ein. In der Zwischenzeit wurde Denvers Offensive für drei Spielzüge aus der Endzone herausgehalten, aber eine Holding-Strafe für Cornerback Josh Norman gab den Broncos ein neues Set Downs. Dann punktete Anderson bei einem 2-Yard-Touchdown-Run und Manning vollendete einen Pass zu Bennie Fowler für eine 2-Point Conversion. Denver erhielt eine 24-10 Führung mit 3:08 verbleibenden Minuten, was das Spiel im Wesentlichen entschied. Carolina hatte noch zwei weitere Drives, konnte aber keine zwei First Downs erzielen.",Anderson,Welcher Spieler erzielte einen Touchdown von der 2-Yard Line aus?
